"ลำดับที่","ชื่อสินค้า","ราคา(บาท)","หน่วย"
1,"มะเขือเหลือง","30-35","กิโลกรัม"
2,"มะเขือไข่เต่าม่วง","40-50","กิโลกรัม"
3,"มะเขือไข่เต่าขาว","40-50","กิโลกรัม"
4,"มะเขือลิง","40-50","กิโลกรัม"
5,"มะเขือสะดิ้ง","40-50","กิโลกรัม"
6,"พริกจินดา คละสี / พริกขี้หนู คละสี แห้ง ติดก้าน","0-0","กิโลกรัม"
7,"พริกยอดสนแดง","50-60","กิโลกรัม"
8,"พริกขี้หนูจินดาแห้ง (ไม่เด็ด)","135-235","กิโลกรัม"
9,"พริกขี้หนูจินดาแห้ง (เด็ด)","135-235","กิโลกรัม"
10,"พริกแดงเม็ดใหญ่แห้ง","92-110","กิโลกรัม"
11,"พริกยอดสนเขียว","100-160","กิโลกรัม"
12,"พริกจินดา คละสี / พริกขี้หนู คละสี แห้ง เด็ดก้าน","0-0","กิโลกรัม"
13,"พริกขี้หนูยอดสนแห้ง","230-280","กิโลกรัม"
14,"พริกขี้หนูยอดสนเขียว","50-60","กิโลกรัม"
15,"พริกขี้หนูยอดสน คละสี","50-70","กิโลกรัม"
16,"ผักบุ้งนา / ผักบุ้งแดง","20-30","กิโลกรัม"
17,"ตะไคร้","10-15","กิโลกรัม"
18,"แขนง (กะหล่ำปลี)","60-70","กิโลกรัม"
19,"แขนงคะน้า","60-70","กิโลกรัม"
20,"เคล / คะน้าใบหยิก","90-100","กิโลกรัม"
21,"ผักแขยง","40-50","กิโลกรัม"
22,"มะเขือม่วงก้านเขียว","50-70","กิโลกรัม"
23,"ผักกาดหางหงษ์","40-50","กิโลกรัม"
24,"มะเขือเทศเนื้อ","70-80","กิโลกรัม"
25,"เมล็ดข้าวโพดสด","40-40","กิโลกรัม"
26,"กระเทียมไทย กลีบเล็ก ปอกเปลือก","90-110","กิโลกรัม"
27,"ข้าวโพดอ่อน เปลือย","45-70","กิโลกรัม"
28,"กระเทียมไทย – เบอร์เล็ก","100-100","กิโลกรัม"
29,"กระเทียมจีน – เบอร์กลาง","70-80","กิโลกรัม"
30,"กระเทียมไทย – เบอร์กลาง","100-110","กิโลกรัม"
31,"หน่อไม้ไผ่ตง","15-25","กิโลกรัม"
32,"หน่อไม้ไผ่ตงต้ม","40-55","กิโลกรัม"
33,"ลูกมะกรูด – เบอร์กลาง (5 ก.ก.)","200-250","กิโลกรัม"
34,"ลูกมะกรูด – เบอร์เล็ก (5 ก.ก.)","150-180","กิโลกรัม"
35,"ลูกมะกรูด – เบอร์ใหญ่ (5 ก.ก.)","250-280","กิโลกรัม"
36,"หอมหัวใหญ่ ไม่ปอกเปลือก เบอร์ A","35-40","กิโลกรัม"
37,"พริกชี้ฟ้าเขียว (สดดำ)","70-80","กิโลกรัม"
38,"เห็ดหูหนูขาวสด","0-0","กิโลกรัม"
39,"มันม่วง ขนาดกลาง","15-18","กิโลกรัม"
40,"มันซุป/เบบี้โปเตโต้","28-40","กิโลกรัม"
41,"มันฝรั่ง ล้าง เบอร์ A","35-40","กิโลกรัม"
42,"มันม่วง คละขนาด","15-17","กิโลกรัม"
43,"มันฝรั่ง – เบอร์กลาง","28-40","กิโลกรัม"
44,"มันฝรั่ง – เบอร์เล็ก","28-30","กิโลกรัม"
45,"มันฝรั่ง – เบอร์ใหญ่","35-40","กิโลกรัม"
46,"มันฝรั่ง ล้าง เบอร์ O","35-38","กิโลกรัม"
47,"มันฝรั่ง ล้าง คละขนาด","28-40","กิโลกรัม"
48,"มันฝรั่ง ล้าง เบอร์ B","30-36","กิโลกรัม"
49,"ขิงแก่ ปอก ล้าง ตัดแต่ง","60-70","กิโลกรัม"
50,"ขิงซอย","50-60","กิโลกรัม"
51,"ขิงกะเทย","40-60","กิโลกรัม"
52,"ขิงหัว","50-70","กิโลกรัม"
53,"ขิง ปอกเปลือก","0-0","กิโลกรัม"
54,"ดอกกุยช่ายขาว","80-90","กิโลกรัม"
55,"ใบกุ่ยช่าย","40-60","กิโลกรัม"
56,"ฟิลเลย์ไอซ์เบิร์ก (ไฮโดร)","120-130","กิโลกรัม"
57,"พริกเหลือง","100-120","กิโลกรัม"
58,"เรดคอรัล (ไฮโดร)","120-140","กิโลกรัม"
59,"เบบี้คอส (ไฮโดร)","55-70","กิโลกรัม"
60,"แตงโมอ่อน","25-30","กิโลกรัม"
61,"ยอดมะขามอ่อน","80-100","กิโลกรัม"
62,"แตงไทยอ่อน ขนาดใหญ่","26-30","กิโลกรัม"
63,"โต้วเหมี่ยว ( ต้นอ่อนถั่วลันเตา )","40-50","กิโลกรัม"
64,"ต้นอ่อนทานตะวัน","40-50","กิโลกรัม"
65,"ใบเตย","18-20","กิโลกรัม"
66,"สะตอแกะ","500-600","กิโลกรัม"
67,"หอมแขก ตัดจุก ไม่ปอกเปลือก ขนาดเล็ก","28-35","กิโลกรัม"
68,"หอมแขก ติดจุก ไม่ปอกเปลือก ขนาดเล็ก","28-35","กิโลกรัม"
69,"หอมแดง ติดจุก ไม่ปอกเปลือก คละขนาด","75-80","กิโลกรัม"
70,"หอมแขก ตัดจุก ปอกเปลือก ขนาดใหญ่","28-40","กิโลกรัม"
71,"หอมแขก ตัดจุก ปอกเปลือก ขนาดเล็ก","28-33","กิโลกรัม"
72,"หอมแขก ตัดจุก ไม่ปอกเปลือก ขนาดใหญ่","28-40","กิโลกรัม"
73,"หอมแขก ติดจุก ไม่ปอกเปลือก ขนาดใหญ่","28-40","กิโลกรัม"
74,"หอมแขก ติดจุก ไม่ปอกเปลือก คละขนาด","28-40","กิโลกรัม"
75,"หน่อไม้ฝรั่ง C (ดอกตูม)","90-100","กิโลกรัม"
76,"ผักหวานป่า","80-160","กิโลกรัม"
77,"หน่อไม้สด หั่นเส้น","50-70","กิโลกรัม"
78,"แตงไทย – เบอร์กลาง","10-12","กิโลกรัม"
79,"ใบชะพลู","40-50","กิโลกรัม"
80,"ใบตอง","20-25","กิโลกรัม"
81,"หน่อไม้ต้ม","40-55","กิโลกรัม"
82,"ยอดมะพร้าวอ่อน","50-70","กิโลกรัม"
83,"เห็ดนางรม","50-70","กิโลกรัม"
84,"ถั่วลิสงแห้ง","87-90","กิโลกรัม"
85,"เห็ดนางรมหลวง (เห็ดออริจิ)","50-70","กิโลกรัม"
86,"ผักโขม","20-40","กิโลกรัม"
87,"มะเขือลาย","40-50","กิโลกรัม"
88,"เห็ดขอนขาว","100-140","กิโลกรัม"
89,"ยอดตำลึง","20-40","กิโลกรัม"
90,"มันสำปะหลัง – เบอร์ใหญ่","20-22","กิโลกรัม"
91,"พาร์สเลย์","80-100","กิโลกรัม"
92,"มันสำปะหลัง คละขนาด","13-15","กิโลกรัม"
93,"น้ำเต้า","16-20","กิโลกรัม"
94,"ผักกระเฉด เด็ด","80-100","กิโลกรัม"
95,"ผักโขมจีน","80-90","กิโลกรัม"
96,"บีทรูท","35-40","กิโลกรัม"
97,"ใบยี่หร่า","40-50","กิโลกรัม"
98,"ดอกแค","40-60","กิโลกรัม"
99,"เห็ดชิเมจิขาวและน้ำตาล","70-80","กิโลกรัม"
100,"เห็ดชิเมจิขาว","70-80","กิโลกรัม"
101,"หัวปลี ขนาดเล็ก","10-12","กิโลกรัม"
102,"หัวปลี ขนาดใหญ่","10-12","กิโลกรัม"
103,"หัวปลี ขนาดกลาง","10-12","กิโลกรัม"
104,"ยอดผักขี้เหล็กต้ม","40-50","กิโลกรัม"
105,"ดอกขี้เหล็กต้ม","70-80","กิโลกรัม"
106,"ใบขี้เหล็กต้ม","35-50","กิโลกรัม"
107,"แตงไทยอ่อน","26-30","กิโลกรัม"
108,"แตงไทยอ่อน ขนาดกลาง","26-30","กิโลกรัม"
109,"แห้วต้มปอกเปลือก","75-80","กิโลกรัม"
110,"แห้วดิบ ไม่ปอกเปลือก คละขนาด","40-50","กิโลกรัม"
111,"แห้วดิบปอกเปลือก","70-75","กิโลกรัม"
112,"ยอดสะเดา","40-50","กิโลกรัม"
113,"ดอกสะเดา","120-150","กิโลกรัม"
114,"กระเทียมจีน ปอก ล้าง ตัดแต่ง คละขนาด","70-80","กิโลกรัม"
115,"ยอดฟักทอง","40-50","กิโลกรัม"
116,"กระเทียมจีน กลีบใหญ่ ปอกเปลือก","80-90","กิโลกรัม"
117,"กระเทียมจีน กลีบเล็ก ปอกเปลือก","70-80","กิโลกรัม"
118,"กระเทียมจีน – เบอร์เล็ก","70-75","กิโลกรัม"
119,"มะรุม ไม่ปอกเปลือก","15-20","กิโลกรัม"
120,"มะรุม ปอกเปลือก","24-40","กิโลกรัม"
121,"เซเลอรี่","50-70","กิโลกรัม"
122,"ฟักเขียว แก่ ขนาดเล็ก","22-24","กิโลกรัม"
123,"ลูกฟักแม้ว","20-30","กิโลกรัม"
124,"ยอดมะระขี้นก","25-30","กิโลกรัม"
125,"ฟักเขียว แก่ ขนาดกลาง","16-20","กิโลกรัม"
126,"ฟักเขียว แก่ ขนาดใหญ่","12-18","กิโลกรัม"
127,"พริกแดงตุ้มพม่าแห้ง","92-110","กิโลกรัม"
128,"โครอล","70-80","กิโลกรัม"
129,"สายบัวลอก","20-25","กิโลกรัม"
130,"ไหลบัว","65-70","กิโลกรัม"
131,"สายบัว หั่นท่อน","20-25","กิโลกรัม"
132,"มะเขือเสวย / มะเขือไข่ยาว สีม่วง","35-38","กิโลกรัม"
133,"มันไข่ เหลือง คละขนาด","0-0","กิโลกรัม"
134,"มะเขือเสวย / มะเขือไข่ยาว คละสี","35-40","กิโลกรัม"
135,"มะเขือเสวย / มะเขือไข่ยาว สีเขียว","35-40","กิโลกรัม"
136,"มะเขือเสวย / มะเขือไข่ยาว สีขาว","35-40","กิโลกรัม"
137,"ไควาเระ","40-50","กิโลกรัม"
138,"บอระเพ็ด","50-60","กิโลกรัม"
139,"เกาลัด","130-250","กิโลกรัม"
140,"ผักแว่น","70-80","กิโลกรัม"
141,"หน่อไม้นึ่ง","40-55","กิโลกรัม"
142,"สมอ","40-50","กิโลกรัม"
143,"ผักแพว","40-50","กิโลกรัม"
144,"โรสแมรี","0-0","กิโลกรัม"
145,"เห็ดแชมปิญองขาว","180-230","กิโลกรัม"
146,"ดอกขี้เหล็ก","70-80","กิโลกรัม"
147,"เห็ดแชมปิญองน้ำตาล","180-230","กิโลกรัม"
148,"ใบย่านาง","70-80","กิโลกรัม"
149,"ดอกอัญชัน","80-90","กิโลกรัม"
150,"พริกไทยขาว","230-265","กิโลกรัม"
151,"ใบขี้เหล็ก","20-40","กิโลกรัม"
152,"ใบยอ","15-20","กิโลกรัม"
153,"มันเทศไทย ขนาดกลาง","20-25","กิโลกรัม"
154,"มันเทศไทย ขนาดเล็ก","18-20","กิโลกรัม"
155,"มันเทศ – เบอร์เล็ก","18-20","กิโลกรัม"
156,"เห็ดหูหนู","50-60","กิโลกรัม"
157,"มันแกว ขนาดเล็ก","8-10","กิโลกรัม"
158,"มะขามอ่อน","40-50","กิโลกรัม"
159,"หอมหัวใหญ่ ไม่ปอกเปลือก คละขนาด","28-40","กิโลกรัม"
160,"หอมแขก ตัดจุก ปอกเปลือก คละขนาด","28-50","กิโลกรัม"
161,"ผักกาดเขียว","10-20","กิโลกรัม"
162,"เห็ดกระด้าง","120-180","กิโลกรัม"
163,"มันสำปะหลัง ขนาดกลาง","18-20","กิโลกรัม"
164,"กระเทียมโทน","130-150","กิโลกรัม"
165,"ผักหวานบ้าน","80-120","กิโลกรัม"
166,"สะระแหน่","100-150","กิโลกรัม"
167,"มะกอกป่า","40-60","กิโลกรัม"
168,"กระชายหัว","100-150","กิโลกรัม"
169,"เห็ดฟาง – เบอร์เล็ก","40-50","กิโลกรัม"
170,"เห็ดฟาง – เบอร์กลาง","60-80","กิโลกรัม"
171,"เห็ดนางฟ้าภูฐาน","80-90","กิโลกรัม"
172,"เห็ดนางฟ้าน้ำตาล","80-90","กิโลกรัม"
173,"ฟักอ่อน","12-14","กิโลกรัม"
174,"กระจับ","30-30","กิโลกรัม"
175,"ขมิ้นขาว","90-130","กิโลกรัม"
176,"ข่าอ่อน","65-70","กิโลกรัม"
177,"ใบบัวบก","30-40","กิโลกรัม"
178,"ลูกมะกรูด คละขนาด","30-40","กิโลกรัม"
179,"ข่าแก่","35-40","กิโลกรัม"
180,"ขิงอ่อน","60-70","กิโลกรัม"
181,"ขมิ้นเหลือง","50-60","กิโลกรัม"
182,"กวางตุ้งไต้หวัน","16-26","กิโลกรัม"
183,"ต้นหอมญี่ปุ่น ใบสั้น","100-120","กิโลกรัม"
184,"เห็ดฟาง – เบอร์ใหญ่","100-150","กิโลกรัม"
185,"ใบมะกรูด","40-50","กิโลกรัม"
186,"กระเทียมไทย – เบอร์ใหญ่","100-110","กิโลกรัม"
187,"กระเทียมจีน – เบอร์ใหญ่","70-80","กิโลกรัม"
188,"เห็ดหอมสด ขนาดกลาง","160-170","กิโลกรัม"
189,"เห็ดหอมสด ขนาดเล็ก","160-170","กิโลกรัม"
190,"เผือกหอม – เบอร์เล็ก","40-43","กิโลกรัม"
191,"ผักชีลาว","40-60","กิโลกรัม"
192,"ชะอม","80-100","กิโลกรัม"
193,"เบบี้กวางตุ้งไต้หวัน","80-90","กิโลกรัม"
194,"กะหล่ำปลีพันธุ์เบา (จีน) ไม่ลอก","26-40","กิโลกรัม"
195,"มะเขือเทศสีดา","35-40","กิโลกรัม"
196,"มันม่วง ขนาดใหญ่","20-24","กิโลกรัม"
197,"มะเขือเทศสีดา สีเขียวปนชมพู","30-35","กิโลกรัม"
198,"มันเทศ – เบอร์ใหญ่","25-32","กิโลกรัม"
199,"มันไข่ เหลือง ขนาดเล็ก","13-16","กิโลกรัม"
200,"มันม่วง ขนาดเล็ก","12-13","กิโลกรัม"
201,"มันไข่ ส้ม ขนาดใหญ่","18-20","กิโลกรัม"
202,"มันไข่ส้ม","13-24","กิโลกรัม"
203,"มันไข่ ส้ม ขนาดเล็ก","15-17","กิโลกรัม"
204,"ข้าวโพดอ่อน","40-50","กิโลกรัม"
205,"มะเขือเทศท้อแดง","35-40","กิโลกรัม"
206,"ผักกาดแก้ว","70-80","กิโลกรัม"
207,"พริกชี้ฟ้าแดง (สดแดง)","60-70","กิโลกรัม"
208,"กะหล่ำปลีพันธุ์หนัก (จีน) ลอก","20-25","กิโลกรัม"
209,"มะเขือพวง (ไม่เด็ด)","60-70","กิโลกรัม"
210,"เห็ดหอมสด","160-190","กิโลกรัม"
211,"ว่านหางจระเข้","0-0",""
212,"เห็ดหอมสด ขนาดใหญ่","170-190","กิโลกรัม"
213,"แตงกวาไทย ขนาดเล็ก","18-20","กิโลกรัม"
214,"ข้าวโพดหวาน ปอกเปลือก ขนาดเล็ก","18-20","กิโลกรัม"
215,"ข้าวโพดหวาน ปอกเปลือก ขนาดใหญ่","25-30","กิโลกรัม"
